# pseudogene  | codingGene |  PMID | Abstract


PTENP1 | ESR1 | PMID: 29021233 | PTENP1 upregulation decreases PTEN gene expression in the ER-positive MCF7 and T47D human breast carcinoma cells and accelerates MCF7 tumor growth in vivo. Of note, PTENP1 transduction significantly decreases ERα (ESR1) mRNA and protein levels in MCF7 xenografts with a concomitant increase in hsa-miR-26a, a miR known to target ESR1. In the ER-negative MDA-MB-231 and C3HBA breast cancer cells upregulation of PTENP1 increases PTEN gene expression with no influence on hsa-miR-26a, ESR1 or ERα expression.

PTENP1 | ESR1 | PMID: 29021233 | In the ER-negative MDA-MB-231 and C3HBA breast cancer cells upregulation of PTENP1 increases PTEN gene expression with no influence on hsa-miR-26a, ESR1 or ERα expression. While PTENP1 transduction did not influence the growth rate of human MDA-MB-231 xenografts, PTENP1 upregulation profoundly reduces its metastatic propensity. Further, PTENP1 significantly inhibits the growth rate of ER-negative C3HBA murine breast cancer xenografts.

PTENP1 | GC | PMID: 28931965 | Long noncoding RNA (lncRNA) phosphatase and tensin homolog pseudogene 1 (PTENP1) is significantly downregulated in gastric cancer (GC), playing critical roles in GC progression. However, the association between PTENP1 genetic variants and GC risk has not yet been reported. Using TaqMan technology, three lncRNA PTENP1 tag single nucleotide polymorphisms (tagSNPs) (rs7853346 C>G, rs865005 C>T, and rs10971638 G>A) were genotyped in 768 GC patients and 768 cancer-free controls in a Chinese population.

DUXAP8 | GC | PMID: 28881724 | In this paper, we report that a newly discovered pseudogene-derived lncRNA named DUXAP8, a 2107-bp RNA, was remarkably upregulated in GC. Additionally, a higher level of DUXAP8 expression in GC was significantly associated with greater tumor size, advanced clinical stage, and lymphatic metastasis. Patients with a higher level of DUXAP8 expression had a relatively poor prognosis.

DUXAP8 | GC | PMID: 28881724 | Furthermore, RNA immunoprecipitation and chromatin immunoprecipitation assays demonstrated that DUXAP8 could epigenetically suppress the expression of PLEKHO1 by binding to EZH2 and SUZ12 (two key components of PRC2), thus promoting GC development. Taken together, our findings suggest that the pseudogene-derived lncRNA DUXAP8 promotes the progression of GC and is a potential therapeutic target for GC intervention. DOI: 10.18632/oncotarget.

PTENP1 | SOCS6 | PMID: 28731203 | Subsequent IHC reported a similar trend in human ESCC samples. 3'UTR luciferase assay demonstrated that PTENP1 3'UTR decoyed miR-17-5p from binding to SOCS6. Moreover, PTENP1 expression was correlated with clinicopathological indicators to varying degrees, including histological grade, TNM stage, infiltration depth, lymph node metastasis, and overall survival.

PTTG3P | GC | PMID: 28631396 | Pseudogenes play a crucial role in cancer progression. However, the role of pituitary tumour-transforming 3, pseudogene (PTTG3P) in gastric cancer (GC) remains unknown. Here, we showed that PTTG3P expression was abnormally up-regulated in GC tissues compared with that in normal tissues both in our 198 cases of clinical samples and the cohort from The Cancer Genome Atlas (TCGA) database.

PTTG3P | GC | PMID: 28631396 | High PTTG3P expression was correlated with increased tumour size and enhanced tumour invasiveness and served as an independent negative prognostic predictor. Moreover, up-regulation of PTTG3P in GC cells stimulated cell proliferation, migration and invasion both in vitro in cell experiments and in vivo in nude mouse models, and the pseudogene functioned independently of its parent genes. Overall, these results reveal that PTTG3P is a novel prognostic biomarker with independent oncogenic functions in GC. © 2017 The Authors.

BNIP3P1 | HK2 | PMID: 28618048 | We revealed that decidual gene transcription profile was altered in severe PE and identified 293 key PE-related genes involved in 19 differentially regulated pathways relevant for the pathogenesis of PE, among which ENO2, PGK1, and HK2 involved in glycolysis/gluconeogenesis and HIF-1 signaling pathway which are all highly related with tumorigenesis and are significantly upregulated in cancer cells were severely inhibited in the decidua of PE. Moreover, we identified 22 core regulatory genes, including the newly identified pseudogenes BNIP3P1, HK2P1, and PGK1P1 that encode long non-coding RNA (lncRNA); interestingly, BNIP3/BNIP3P1, HK2/HK2P1, and PGK1/PGK1P1 appear in pairs in core genes. Subsequent analyses using quantitative PCR validated a portion of these results.

BNIP3P1 | PGK1 | PMID: 28618048 | We revealed that decidual gene transcription profile was altered in severe PE and identified 293 key PE-related genes involved in 19 differentially regulated pathways relevant for the pathogenesis of PE, among which ENO2, PGK1, and HK2 involved in glycolysis/gluconeogenesis and HIF-1 signaling pathway which are all highly related with tumorigenesis and are significantly upregulated in cancer cells were severely inhibited in the decidua of PE. Moreover, we identified 22 core regulatory genes, including the newly identified pseudogenes BNIP3P1, HK2P1, and PGK1P1 that encode long non-coding RNA (lncRNA); interestingly, BNIP3/BNIP3P1, HK2/HK2P1, and PGK1/PGK1P1 appear in pairs in core genes. Subsequent analyses using quantitative PCR validated a portion of these results.

HK2P1 | BNIP3 | PMID: 28618048 | We revealed that decidual gene transcription profile was altered in severe PE and identified 293 key PE-related genes involved in 19 differentially regulated pathways relevant for the pathogenesis of PE, among which ENO2, PGK1, and HK2 involved in glycolysis/gluconeogenesis and HIF-1 signaling pathway which are all highly related with tumorigenesis and are significantly upregulated in cancer cells were severely inhibited in the decidua of PE. Moreover, we identified 22 core regulatory genes, including the newly identified pseudogenes BNIP3P1, HK2P1, and PGK1P1 that encode long non-coding RNA (lncRNA); interestingly, BNIP3/BNIP3P1, HK2/HK2P1, and PGK1/PGK1P1 appear in pairs in core genes. Subsequent analyses using quantitative PCR validated a portion of these results.

