#pseudogeneID | pseudogene  | codingGeneID | codingGene | PMID | Role
ENSG00000237984 | PTENP1 | ENSG00000171862 | PTEN | PMID: 29021233 | microRNA; miR
ENSG00000237984 | PTENP1 | ENSG00000091831 | ESR1 | PMID: 29021233 | microRNA; miR
ENSG00000160766 | GBAP1 | ENSG00000177628 | GBA | PMID: 28983119 | microRNA; miR; ceRNA
ENSG00000237984 | PTENP1 | ENSG00000145321 | * GC risk | PMID: 28931965 | microRNA; miR
ENSG00000271672 | DUXAP8 | ENSG00000145321 | * GC risk | PMID: 28881724 | other
ENSG00000170827 | CELP | ENSG00000170835 | CEL | PMID: 28881607 | other
ENSG00000237984 | PTENP1 | ENSG00000171862 | PTEN | PMID: 28731203 | miR
ENSG00000237984 | PTENP1 | ENSG00000170677 | SOCS6 | PMID: 28731203 | miR
ENSG00000213005 | PTTG3P | ENSG00000145321 | * GC risk | PMID: 28631396 | other
ENSG00000197358 | BNIP3P1 | ENSG00000159399 | HK2 | PMID: 28618048 | other
ENSG00000197358 | BNIP3P1 | ENSG00000176171 | BNIP3 | PMID: 28618048 | other
ENSG00000197358 | BNIP3P1 | ENSG00000102144 | PGK1 | PMID: 28618048 | other
ENSG00000228612 | HK2P1 | ENSG00000159399 | HK2 | PMID: 28618048 | other
ENSG00000228612 | HK2P1 | ENSG00000176171 | BNIP3 | PMID: 28618048 | other
ENSG00000228612 | HK2P1 | ENSG00000102144 | PGK1 | PMID: 28618048 | other
ENSG00000254331 | CKS1BP7 | ENSG00000140443 | IGF1R | PMID: 28439706 | other
ENSG00000176289 | IDSP1 | ENSG00000010404 | IDS | PMID: 28401457 | miR
ENSG00000154198 | CYP4Z2P | ENSG00000186160 | CYP4Z1 | PMID: 28236635 | other
ENSG00000237984 | PTENP1 | ENSG00000171862 | PTEN | PMID: 28213783 | other
ENSG00000237984 | PTENP1 | ENSG00000145321 | * GC risk | PMID: 28212532 | ceRNA; miR
ENSG00000237984 | PTENP1 | ENSG00000171862 | PTEN | PMID: 28119349 | other
ENSG00000230444 | TFAMP1 | ENSG00000157778 | PSMG3 | PMID: 27866770 | antisense
ENSG00000171658 | NMRAL2P | ENSG00000181019 | NQO1 | PMID: 27860235 | other
ENSG00000234801 | MORF4 | ENSG00000172465 | TCEAL1 | PMID: 27506666 | other
ENSG00000234801 | MORF4 | ENSG00000123562 | MORF4L2 | PMID: 27506666 | other
ENSG00000234801 | MORF4 | ENSG00000188828 | GLRA4 | PMID: 27506666 | other
ENSG00000242473 | KIR2DP1 | ENSG00000167633 | KIR3DL1 | PMID: 27343992 | other
ENSG00000204933 | CD177P1 | ENSG00000204936 | CD177 | PMID: 27227454 | other
ENSG00000243970 | PPIEL | ENSG00000197808 | ZNF461 | PMID: 27067812 | other
ENSG00000243970 | PPIEL | ENSG00000203896 | LIME1 | PMID: 27067812 | other
ENSG00000154198 | CYP4Z2P | ENSG00000186160 | CYP4Z1 | PMID: 26980484 | miR; ceRNA
ENSG00000154198 | CYP4Z2P | ENSG00000250506 | CDK3 | PMID: 26980484 | ceRNA; miR
ENSG00000170827 | CELP | ENSG00000170835 | CEL | PMID: 26946345 | other
ENSG00000205702 | CYP2D7 | ENSG00000100197 | CYP2D6 | PMID: 26793106 | other
ENSG00000237984 | PTENP1 | ENSG00000171862 | PTEN | PMID: 26335297 | microRNA; miR
ENSG00000214617 | SLC6A10P | ENSG00000157103 | SLC6A1 | PMID: 26311224 | other
ENSG00000214617 | SLC6A10P | ENSG00000139219 | COL2A1 | PMID: 26311224 | other
ENSG00000088340 | FER1L4 | ENSG00000151422 | FER | PMID: 26306906 | ceRNA; miR
ENSG00000088340 | FER1L4 | ENSG00000171862 | PTEN | PMID: 26306906 | miR; ceRNA
ENSG00000238086 | PPP1R26P1 | ENSG00000184203 | PPP1R2 | PMID: 26275142 | other
ENSG00000238086 | PPP1R26P1 | ENSG00000139687 | RB1 | PMID: 26275142 | other
ENSG00000223773 | CD99P1 | ENSG00000010278 | CD9 | PMID: 26269497 | microRNA; miR
ENSG00000223773 | CD99P1 | ENSG00000002586 | CD99 | PMID: 26269497 | microRNA; miR
ENSG00000187953 | PMS2CL | ENSG00000122512 | PMS2 | PMID: 26232782 | other
ENSG00000248290 | TNXA | ENSG00000168477 | TNXB | PMID: 26075496 | other
ENSG00000256340 | ABCC6P1 | ENSG00000091262 | ABCC6 | PMID: 26029710 | other
ENSG00000161912 | ADCY10P1 | ENSG00000164742 | ADCY1 | PMID: 25993294 | other
ENSG00000237984 | PTENP1 | ENSG00000145321 | * GC risk | PMID: 25968876 | other
ENSG00000233440 | HMGA1P6 | ENSG00000137309 | HMGA1 | PMID: 25894544 | microRNA
ENSG00000257331 | RACGAP1P | ENSG00000184613 | NELL2 | PMID: 25846056 | other
ENSG00000257331 | RACGAP1P | ENSG00000185610 | DBX2 | PMID: 25846056 | other
ENSG00000257331 | RACGAP1P | ENSG00000177119 | ANO6 | PMID: 25846056 | other
ENSG00000134297 | PLEKHA8P1 | ENSG00000184613 | NELL2 | PMID: 25846056 | other
